CodiceBambino,Gruppo,DC,SO,MC,CI,CR,VC,LN,RM,CO,RS,QI.totale,IndiceComprensioneVerbale,IndiceRagionamentoPercettivo,IndiceMemoriaLavoro,IndiceVelocitaElaborazione
913,Tipico,7,4,13,9,10,7,13,9,8,6,89,78,89,118,88
914,Tipico,12,12,14,7,14,10,10,11,14,14,115,112,100,112,123
915,Tipico,11,10,10,8,13,11,10,10,13,4,100,108,98,100,91
916,Tipico,10,7,8,12,10,6,11,11,4,8,89,74,106,97,94
917,Tipico,13,13,13,14,8,11,15,13,6,6,110,100,121,124,82
918,Tipico,5,8,8,8,5,5,10,9,7,11,81,80,83,94,88
919,Tipico,11,5,12,9,13,12,11,10,17,12,110,108,100,109,115
920,Tipico,17,11,14,13,14,11,9,13,9,16,122,102,128,109,129
921,Tipico,15,10,11,7,15,8,10,8,6,13,102,88,100,103,123
922,Tipico,15,9,11,12,16,13,9,10,12,10,114,108,115,100,118
923,Tipico,4,5,5,9,8,2,8,9,2,11,70,59,83,79,97
924,Tipico,8,9,9,7,7,9,6,6,2,8,77,80,81,85,85
925,Tipico,7,11,12,11,7,11,11,10,13,12,104,110,96,109,97
926,Tipico,13,15,9,10,13,16,8,12,15,12,119,131,111,91,115
927,Tipico,5,10,10,8,10,7,6,7,12,8,86,98,78,88,94
928,Tipico,11,8,9,14,14,11,11,12,8,10,106,94,115,100,112
929,Tipico,6,14,11,13,7,13,12,7,12,4,99,118,91,109,74
930,Tipico,10,12,13,8,7,12,7,10,11,7,98,110,96,100,82
931,Tipico,7,10,10,8,4,9,10,5,9,6,82,96,78,100,71
932,Tipico,8,9,13,5,10,13,12,8,11,11,100,106,81,115,103
933,Tipico,9,12,11,10,6,8,7,12,8,10,94,96,102,94,88
934,Tipico,11,11,16,10,11,14,16,14,14,10,122,118,111,136,103
935,Tipico,8,7,10,10,3,12,9,12,10,8,91,98,100,97,74
936,Tipico,9,9,12,12,13,6,10,9,10,12,102,90,100,106,115
937,Tipico,9,5,10,5,13,10,5,11,6,14,90,82,89,85,120
938,Tipico,14,16,12,17,10,17,12,17,15,10,132,135,139,112,100
939,Tipico,4,6,9,6,12,8,7,4,5,7,74,78,66,88,97
940,Tipico,12,6,7,13,7,7,8,10,8,8,89,82,111,85,85
941,Tipico,11,13,14,10,13,12,16,14,7,12,118,104,111,130,115
942,Tipico,10,12,7,15,9,9,11,13,14,12,110,110,117,94,103
943,Tipico,17,17,16,15,15,19,15,19,16,12,149,143,145,133,120
944,Tipico,9,10,9,14,10,12,12,10,14,10,108,112,106,103,100
945,Tipico,17,15,13,18,10,15,15,13,14,9,131,128,139,124,97
946,Tipico,6,4,3,8,14,6,4,5,9,7,73,78,76,62,103
947,Tipico,12,6,7,11,12,3,9,7,6,12,88,70,100,88,112
948,Tipico,12,7,9,9,10,9,10,6,11,8,93,94,94,97,94
949,Tipico,10,14,11,13,11,10,6,12,12,12,109,112,111,91,109
950,Tipico,12,11,9,9,11,14,10,8,15,10,107,120,98,97,103
951,Tipico,9,8,8,9,14,7,12,10,6,14,98,82,96,100,123
952,Tipico,11,9,11,8,6,9,10,10,11,11,97,98,98,103,91
953,Tipico,12,10,15,9,12,8,10,10,9,12,106,94,102,115,112
954,Tipico,8,5,15,10,9,8,7,11,9,10,94,84,98,106,97
955,Tipico,12,12,13,12,13,15,14,13,11,10,120,116,115,121,109
956,Tipico,9,9,11,13,11,7,5,14,10,14,102,92,113,88,115
957,Tipico,10,15,12,11,15,15,15,13,12,13,125,124,109,121,123
958,Tipico,7,8,10,7,9,4,9,8,9,13,87,82,83,97,106
959,Tipico,9,18,14,11,12,12,10,14,11,10,117,122,109,112,106
960,Tipico,8,13,6,10,6,6,10,8,5,8,84,88,91,88,82
961,Tipico,12,9,11,12,15,11,16,16,12,10,119,104,121,121,115
962,Tipico,14,17,10,15,14,18,15,14,13,13,135,135,128,115,120
963,Tipico,10,10,10,7,14,10,11,8,10,13,102,100,89,103,120
964,Tipico,13,8,7,10,13,7,8,12,10,9,98,90,111,85,106
965,Tipico,15,10,11,14,18,9,8,14,13,17,123,104,128,97,144
966,Tipico,11,8,11,11,9,8,6,9,7,8,90,86,102,91,91
967,Tipico,16,17,12,15,16,12,16,17,12,12,136,122,139,124,123
968,Tipico,8,9,5,9,11,8,6,10,8,5,83,90,94,73,88
969,Tipico,13,10,11,13,12,10,12,13,14,14,118,108,119,109,118
970,Tipico,6,9,11,13,8,10,11,2,12,10,94,102,81,106,94
971,Tipico,5,8,9,10,9,7,8,7,11,4,82,92,83,91,80
972,Tipico,15,15,11,17,8,16,11,12,17,11,127,135,130,106,97
973,Tipico,11,13,11,8,9,7,10,10,6,10,96,92,98,103,97
974,Tipico,15,13,14,12,17,13,9,11,8,15,122,108,117,109,135
975,Tipico,9,8,12,9,14,7,11,6,12,10,98,94,87,109,112
976,Tipico,10,7,6,10,10,8,9,10,8,5,86,86,100,85,85
977,Tipico,12,14,15,11,12,11,9,9,8,13,111,106,104,112,115
978,Tipico,16,9,13,8,15,5,12,9,5,9,101,78,106,115,112
979,Tipico,11,12,10,11,6,6,14,13,12,7,102,100,111,112,80
980,Tipico,13,7,6,6,6,4,4,9,9,9,78,80,96,70,85
981,Tipico,13,8,9,8,8,10,12,8,13,7,97,102,98,103,85
982,Tipico,11,7,13,9,5,11,10,11,12,10,99,100,102,109,85
983,Tipico,5,8,11,12,12,9,7,5,6,9,87,86,83,94,103
984,Tipico,14,8,13,9,9,8,13,7,6,5,94,84,100,118,82
985,Tipico,6,7,1,9,6,8,9,5,5,10,73,80,78,70,88
986,Tipico,10,8,9,9,10,9,7,10,9,15,97,92,98,88,115
987,Tipico,10,7,12,10,14,6,9,9,7,12,97,80,98,103,118
988,Tipico,11,7,7,11,10,9,13,10,11,13,102,94,104,100,109
989,Tipico,12,12,11,8,6,8,10,9,10,12,98,100,98,103,94
990,Tipico,7,13,13,10,11,8,10,8,7,7,95,96,89,109,94
991,Tipico,14,8,8,9,11,8,7,5,7,12,91,86,96,85,109
992,Tipico,13,8,11,10,14,6,12,10,8,10,102,84,106,109,112
993,Tipico,10,11,13,12,13,11,12,12,7,10,109,98,109,115,109
994,Tipico,16,12,15,17,11,12,13,13,11,10,124,110,134,124,103
995,Tipico,5,7,9,7,6,13,6,7,6,6,77,92,76,85,77
996,Tipico,8,11,10,7,12,13,11,10,9,13,103,106,89,103,115
997,Tipico,6,14,11,13,11,12,10,13,10,8,106,112,104,103,97
998,Tipico,7,7,5,8,11,4,7,7,4,4,71,70,83,76,85
999,Tipico,8,9,9,7,8,9,5,7,7,7,81,90,83,82,85
1000,Tipico,12,11,12,11,12,11,11,6,10,19,112,104,98,109,132
1001,Tipico,10,10,10,8,9,9,12,12,15,13,106,108,100,106,106
1002,Tipico,12,7,11,6,7,6,10,5,10,12,89,86,85,103,97
1003,Tipico,19,17,15,18,11,18,16,13,16,13,145,141,143,133,112
1004,Tipico,8,8,14,13,10,9,9,9,10,8,98,94,100,109,94
1005,Tipico,4,11,5,13,8,7,10,10,9,10,89,94,94,85,94
1006,Tipico,9,12,12,8,11,14,15,7,12,10,108,116,87,121,103
1007,Tipico,14,11,11,10,11,14,10,15,11,10,114,112,119,103,103
1008,Tipico,11,14,6,10,11,13,11,10,15,7,106,124,102,91,94
1009,Tipico,11,14,16,11,8,9,12,13,9,8,109,104,111,124,88
1010,Tipico,9,11,9,12,14,14,11,12,12,12,113,114,106,100,118
1011,Tipico,16,15,11,9,9,12,16,17,13,11,123,120,126,121,100
1012,Tipico,8,10,6,9,11,8,9,5,11,13,92,98,83,85,112
1013,Tipico,8,7,10,12,10,9,11,11,5,10,94,82,102,103,100
1014,Tipico,10,16,10,12,11,18,8,11,14,14,119,135,106,94,115
1015,Tipico,12,11,12,7,16,12,11,12,12,13,115,110,102,109,126
1016,Tipico,9,14,13,12,12,16,7,10,15,8,113,129,102,100,100
1017,Tipico,8,7,8,9,8,6,13,12,8,10,91,82,98,103,94
1018,Tipico,12,16,9,11,9,10,11,12,9,12,109,110,111,100,103
1019,Tipico,15,13,14,11,11,14,11,15,11,12,122,116,124,115,109
1020,Tipico,10,10,11,11,13,13,15,11,13,11,115,112,104,118,112
1021,Tipico,12,10,11,10,11,9,4,13,9,9,98,96,111,85,100
1022,Tipico,11,13,6,9,11,11,7,9,9,7,94,106,98,79,94
1023,Tipico,9,7,12,8,10,3,8,10,9,13,91,78,94,100,109
1024,Tipico,13,10,9,13,11,11,12,14,13,7,110,108,121,103,94
1025,Tipico,11,11,14,12,10,15,13,18,15,12,125,122,124,121,106
1026,Tipico,7,8,6,11,5,13,9,8,12,11,92,106,91,85,88
1027,Tipico,8,9,11,6,4,6,6,9,11,9,83,92,85,91,80
1028,Tipico,11,10,9,8,7,10,1,11,9,13,91,98,100,70,100
1029,Tipico,11,10,14,8,10,13,13,11,13,15,115,112,100,121,115
1030,Tipico,11,11,13,9,8,7,15,13,10,10,106,96,106,124,94
1031,Tipico,12,7,9,9,9,6,8,9,3,12,87,72,100,91,103
1032,Tipico,11,15,6,11,13,13,7,14,13,11,111,122,113,79,112
1033,Tipico,7,6,7,13,11,5,6,5,11,4,80,84,89,79,85
1034,Tipico,7,9,14,9,11,11,10,11,7,8,98,94,94,112,97
1035,Tipico,8,11,11,9,8,13,12,10,8,9,99,104,94,109,91
1036,Tipico,10,12,13,7,10,7,11,9,9,11,99,96,91,112,103
1037,Tipico,13,11,11,9,9,8,8,9,6,12,97,90,102,97,103
1038,Tipico,10,10,5,13,9,13,8,9,12,10,99,110,104,79,97
1039,Tipico,13,14,14,10,12,13,9,10,14,15,119,122,106,109,120
1040,Tipico,17,14,13,8,14,13,10,12,8,13,118,110,115,109,120
1041,Tipico,6,6,9,8,5,10,10,10,11,13,90,94,87,97,94
1042,Tipico,5,6,9,6,4,9,9,7,6,8,75,82,74,94,77
1043,Tipico,4,10,9,10,10,11,7,7,10,7,88,102,81,88,91
1044,Tipico,9,8,9,12,9,7,14,8,7,7,92,84,98,109,88
1045,Tipico,11,12,8,17,11,9,10,14,7,10,107,96,126,94,103
1046,Tipico,9,8,12,7,9,13,5,9,10,8,92,102,89,91,91
1047,Tipico,14,8,10,11,6,14,6,15,13,8,104,110,121,88,82
1048,Tipico,12,11,11,14,17,11,15,16,10,14,125,104,126,118,132
1049,Tipico,12,10,15,11,13,12,10,12,10,14,115,104,111,115,120
1050,Tipico,4,1,6,9,8,1,7,2,3,10,60,51,68,79,94
1051,Tipico,16,8,12,12,14,10,11,16,11,13,119,98,130,109,120
1052,Tipico,8,10,14,10,9,11,12,10,11,9,103,104,96,118,94
1053,Tipico,9,11,8,9,10,7,7,11,7,11,92,90,98,85,103
1054,Tipico,11,11,5,9,13,7,8,8,8,9,91,92,96,79,106
1055,Tipico,12,12,11,12,10,12,12,11,10,12,111,108,111,109,106
1056,Tipico,7,8,10,6,11,9,8,8,7,18,94,88,81,94,126
1057,Tipico,10,11,9,11,6,9,9,10,12,5,94,104,102,94,74
1058,Tipico,16,11,8,11,15,12,12,13,12,18,123,110,121,100,138
1059,Tipico,3,8,8,9,8,4,6,7,7,9,75,78,76,82,91
1060,Tipico,7,8,9,6,11,13,4,11,12,11,94,106,87,79,106
1061,Tipico,12,12,7,9,15,11,4,11,2,12,96,90,104,73,120
1062,Tipico,8,11,6,8,10,7,5,6,12,7,84,100,83,73,91
1063,Tipico,9,7,10,11,11,9,15,8,10,8,98,92,96,115,97
1064,Tipico,9,11,10,6,10,12,6,12,10,8,95,106,94,88,94
1065,Tipico,11,5,11,10,11,10,13,14,10,11,105,90,111,112,106
1066,Tipico,10,16,17,13,19,16,12,16,11,14,136,126,119,127,138
1067,Tipico,11,9,10,8,7,6,9,11,8,9,90,86,100,97,88
1068,Tipico,14,18,14,18,9,19,18,14,15,17,145,143,134,136,118
1069,Tipico,13,12,11,13,11,9,11,10,12,12,111,106,113,106,109
1070,Tipico,7,5,10,6,8,7,11,5,6,9,79,76,74,103,91
1071,Tipico,6,6,12,13,11,9,7,10,8,12,95,86,98,97,109
1072,Tipico,5,8,9,10,8,12,6,6,8,4,81,96,81,85,77
1073,Tipico,12,9,9,10,15,11,7,15,9,12,107,98,115,88,120
1074,Tipico,11,13,9,10,9,9,10,10,13,11,104,110,102,97,100
1075,Tipico,12,12,12,11,10,14,11,14,13,14,119,118,115,109,112
1076,Tipico,14,8,10,12,8,10,10,10,6,16,103,88,113,100,112
1077,Tipico,7,12,9,12,12,12,10,12,12,12,108,112,102,97,112
1078,Tipico,11,10,10,7,12,7,8,11,11,7,95,96,98,94,97
1079,Tipico,13,10,8,5,7,6,12,10,10,7,90,92,96,100,82
1080,Tipico,9,10,7,5,11,8,11,7,7,9,87,90,81,94,100
1081,Tipico,6,10,7,13,13,13,11,11,10,12,105,106,100,94,115
1082,Tipico,13,12,10,7,10,9,13,8,11,11,103,104,96,109,103
1083,Tipico,8,14,14,12,5,12,14,16,13,7,112,118,113,124,77
1084,Tipico,8,12,11,11,6,16,12,8,15,10,107,126,94,109,88
1085,Tipico,10,13,10,9,11,10,9,14,9,13,106,104,106,97,112
1086,Tipico,13,15,13,15,10,13,13,12,12,10,121,120,121,118,100
1087,Tipico,8,6,17,9,8,6,15,7,11,7,95,86,87,136,85
1088,Tipico,12,11,14,6,7,6,11,9,9,13,98,92,94,115,100
1089,Tipico,11,16,17,14,10,12,11,15,15,11,126,126,121,124,103
1090,Tipico,9,17,11,13,11,12,11,12,15,10,117,128,109,106,103
1091,Tipico,5,12,13,6,14,15,9,9,12,9,103,118,78,106,109
1092,Tipico,9,14,11,13,11,14,11,13,13,12,117,122,111,106,109
1093,Tipico,8,8,8,6,8,7,11,9,4,7,81,78,85,97,85
1094,Tipico,8,5,8,4,16,10,5,9,13,12,92,96,81,79,123
1095,Tipico,10,14,10,11,11,11,12,11,11,10,109,112,104,106,103
1096,Tipico,9,6,11,8,11,6,14,11,8,10,95,80,96,115,103
1097,Tipico,15,16,11,8,16,12,12,15,14,12,125,124,117,109,123
1098,Tipico,10,11,6,5,12,13,11,9,9,8,95,106,87,91,100
1099,Tipico,9,7,7,9,11,9,5,8,13,11,91,98,91,76,106
1100,Tipico,9,9,9,9,13,13,8,10,7,11,98,98,96,91,112
1101,Tipico,10,12,10,12,8,14,11,15,14,9,112,120,115,103,91
1102,Tipico,8,12,11,13,16,11,12,12,16,11,118,118,106,109,120
1103,Tipico,10,12,11,10,14,12,15,9,12,13,115,112,98,118,120
1104,Tipico,8,5,5,8,12,6,8,10,6,8,81,74,91,79,100
1105,Tipico,13,13,10,10,11,4,8,7,7,8,93,88,100,94,97
1106,Tipico,8,8,10,4,8,9,9,6,9,8,83,92,74,97,88
1107,Tipico,7,4,4,4,10,7,9,7,7,9,74,76,74,79,97
1108,Tipico,9,12,5,6,9,9,4,10,7,6,81,96,89,67,85
1109,Tipico,10,9,7,11,11,13,10,11,15,11,106,114,104,91,106
1110,Tipico,5,4,7,6,6,5,6,12,3,10,71,65,85,79,88
1111,Tipico,13,10,15,7,12,5,9,10,9,11,101,88,100,112,109
1112,Tipico,6,10,9,9,3,6,11,5,6,3,74,84,78,100,59
1113,Tipico,10,10,12,15,12,10,10,11,9,13,110,98,113,106,115
1114,Tipico,3,9,4,10,5,6,6,9,5,7,71,80,83,70,77
1115,Tipico,12,8,5,18,11,13,11,14,14,11,114,110,130,88,106
1116,Tipico,13,13,12,12,12,11,15,14,13,13,123,114,119,121,115
1117,Tipico,3,7,13,9,4,8,10,7,7,9,81,84,76,109,80
1118,Tipico,16,13,14,13,13,15,12,12,11,16,128,118,124,118,126
1119,Tipico,12,10,13,11,14,10,10,9,10,12,109,100,104,109,118
1120,Tipico,12,11,7,13,13,7,6,12,12,13,105,100,115,79,118
1121,Tipico,9,5,5,9,5,10,4,6,9,4,73,88,87,67,68
1122,Tipico,16,14,15,12,13,10,13,12,13,14,126,114,121,124,120
1123,Tipico,11,11,17,12,12,14,16,16,9,13,125,108,119,139,115
1124,Tipico,13,13,13,15,14,14,12,14,13,10,125,120,126,115,112
1125,Tipico,10,14,9,11,11,11,11,13,8,12,108,106,109,100,109
1126,Tipico,11,9,16,14,11,10,14,9,13,9,113,104,109,130,100
1127,Tipico,4,5,9,10,13,6,9,7,9,11,86,80,81,94,112
1128,Tipico,12,10,6,11,11,13,6,10,11,10,100,108,106,76,103
1129,Tipico,9,6,9,14,9,9,10,6,9,18,99,88,98,97,120
1130,Tipico,12,12,12,17,11,12,8,14,12,10,116,112,128,100,103
1131,Tipico,15,13,11,16,10,12,9,13,16,8,119,122,130,100,94
1132,Tipico,9,10,12,12,10,11,12,13,10,6,104,102,109,112,88
1133,Tipico,9,2,4,4,9,6,4,8,3,6,64,63,81,65,85
1134,Tipico,8,9,15,13,11,13,11,10,10,9,107,104,102,118,100
1135,Tipico,5,7,8,5,13,10,9,10,14,14,96,102,78,91,120
1136,Tipico,6,12,12,13,6,10,9,9,14,11,102,112,96,103,91
1137,Tipico,9,14,12,14,12,9,12,15,9,13,115,104,117,112,115
1138,Tipico,8,14,8,13,6,10,9,13,13,5,99,114,109,91,74
1139,Tipico,11,11,13,19,9,12,8,12,14,7,113,114,126,103,88
1140,Tipico,12,14,10,14,9,17,10,7,13,10,113,128,106,100,97
1141,Tipico,12,14,13,13,11,11,11,8,13,9,112,116,106,112,100
1142,Tipico,15,10,10,7,11,14,10,12,11,11,109,110,109,100,106
1143,Tipico,11,10,10,8,14,10,15,13,13,11,112,106,104,115,115
1144,Tipico,10,12,10,10,11,10,3,10,14,7,98,112,100,79,94
1145,Tipico,8,9,6,8,8,5,4,7,8,9,77,84,85,70,91
1146,Tipico,15,7,9,10,14,12,11,6,13,10,106,104,102,100,112
1147,Tipico,10,15,10,9,11,12,12,10,12,9,108,118,98,106,100
1148,Tipico,15,9,11,13,13,11,10,14,14,10,116,108,126,103,109
1149,Tipico,10,11,14,12,10,12,9,10,13,9,108,112,104,109,97
1150,Tipico,10,12,9,10,12,12,14,13,11,16,115,110,106,109,123
1151,Tipico,6,5,10,8,10,6,7,9,5,5,77,72,85,91,85
1152,Tipico,13,12,10,12,10,12,13,12,11,10,112,110,115,109,100
1153,Tipico,15,15,11,17,14,16,11,13,17,12,133,135,132,106,118
1154,Tipico,10,9,5,3,6,7,6,5,6,6,70,84,74,73,77
1155,Tipico,8,9,8,6,10,10,6,4,11,10,85,100,74,82,100
1156,Tipico,9,6,8,8,6,9,9,1,10,4,76,90,74,91,71
1157,Tipico,11,13,13,11,10,12,10,13,12,13,115,114,111,109,109
1158,Tipico,5,9,7,5,7,8,7,9,14,9,84,102,76,82,88
1159,Tipico,15,12,12,6,10,13,16,15,10,9,115,110,113,124,97
1160,Tipico,14,12,7,16,16,14,10,11,14,16,124,120,124,91,135
1161,Tipico,10,8,6,5,6,9,8,9,8,8,81,90,87,82,82
1162,Tipico,12,10,12,12,9,9,12,11,6,9,102,90,111,112,94
1163,Tipico,9,10,12,9,9,8,8,11,6,9,93,88,98,100,94
1164,Tipico,5,4,10,6,8,6,12,8,9,9,81,78,76,106,91
1165,Tipico,8,11,14,13,6,11,14,6,13,9,104,110,94,124,85
1166,Tipico,14,14,7,11,8,13,14,16,12,10,115,118,124,103,94
1167,Tipico,7,11,8,6,14,11,12,10,9,8,97,102,85,100,106
1168,Tipico,9,10,16,12,9,14,12,7,11,14,111,110,96,124,109
1169,Tipico,8,7,15,9,10,8,12,5,7,10,93,84,83,121,100
1170,Tipico,14,12,10,17,6,11,9,14,13,10,113,112,132,97,88
1171,Tipico,10,7,4,7,8,7,12,6,9,3,78,86,85,88,74
1172,Tipico,10,10,12,8,11,10,12,6,11,10,100,102,87,112,103
1173,Tipico,12,13,12,14,6,13,12,14,11,9,113,114,121,112,85
1174,Tipico,8,14,12,11,11,15,9,13,13,11,114,124,104,103,106
1175,Tipico,8,7,8,9,8,7,10,5,9,12,86,86,83,94,100
1176,Tipico,5,9,7,7,10,5,3,7,4,9,73,76,76,70,97
1177,Tipico,9,13,10,11,12,16,15,10,12,8,113,122,100,115,100
1178,Tipico,10,8,9,11,12,7,10,8,9,10,95,88,98,97,106
1179,Tipico,4,8,4,6,9,6,3,8,9,5,69,86,74,62,82
1180,Tipico,11,12,11,6,7,8,11,9,4,7,89,88,91,106,82
1181,Tipico,10,12,11,16,14,13,14,16,11,14,125,112,126,115,123
1182,Tipico,17,8,10,10,12,5,7,8,7,10,95,80,111,91,106
1183,Tipico,7,8,11,9,12,7,11,7,10,13,96,90,85,106,115
1184,Tipico,7,9,11,10,8,12,12,10,12,17,106,106,94,109,115
1185,Tipico,12,13,10,10,12,9,12,15,10,10,110,104,115,106,106
1186,Tipico,5,10,7,5,10,9,14,12,9,11,94,96,83,103,103
1187,Tipico,11,6,9,9,7,5,8,11,8,9,86,78,102,91,88
1188,Tipico,6,9,11,13,9,9,7,9,6,11,92,88,96,94,100
1189,Tipico,11,10,9,6,11,8,9,7,11,10,94,98,87,94,103
1190,Tipico,7,7,9,8,9,7,8,5,8,5,78,84,78,91,82
1191,Tipico,12,14,7,12,9,13,6,12,12,16,110,118,113,79,115
1192,Tipico,9,12,8,14,5,9,13,11,13,13,106,108,109,103,94
1193,Tipico,15,10,11,10,10,10,9,17,14,10,113,108,126,100,100
1194,Tipico,10,11,10,13,9,12,11,10,13,12,109,112,106,103,103
1195,Tipico,8,3,13,10,8,7,9,9,8,10,88,76,94,106,94
1196,Tipico,1,7,7,9,5,8,9,10,8,7,77,86,78,88,77
1197,Tipico,11,6,11,10,8,11,12,9,9,10,98,92,100,109,94
1198,Tipico,14,6,10,11,8,9,13,16,12,17,113,94,124,109,115
1199,Tipico,9,11,10,8,12,12,9,8,9,12,100,104,89,97,112
1200,Tipico,8,9,9,11,12,7,8,9,8,8,91,88,96,91,100
1201,Tipico,12,9,11,12,11,6,8,13,11,8,101,92,115,97,97
1202,Tipico,9,8,7,11,3,9,9,8,7,4,80,88,96,88,62
1203,Tipico,14,16,11,16,11,14,11,13,12,12,124,124,128,106,109
1204,Tipico,10,11,10,11,4,10,10,11,9,10,97,100,104,100,82
1205,Tipico,8,8,8,8,8,10,8,9,9,7,86,94,89,88,85
1206,Tipico,14,7,8,10,11,12,12,13,10,11,106,98,115,100,106
1207,Tipico,9,9,6,9,11,6,10,10,10,7,89,90,96,88,94
1208,Tipico,9,10,9,8,7,10,11,5,9,12,92,98,83,100,97
1209,Tipico,8,10,8,9,14,11,10,7,10,11,98,102,87,94,115
1210,Tipico,6,8,2,9,7,10,8,6,9,1,73,94,81,70,65
1211,Tipico,11,9,13,5,11,8,9,7,8,11,94,90,85,106,106
1212,Tipico,16,11,18,16,13,12,18,13,8,11,129,102,132,147,112
1213,Tipico,9,11,10,12,11,15,12,13,11,13,114,114,109,106,112
1214,Tipico,6,11,11,13,7,11,10,14,10,9,102,104,106,103,88
1215,Tipico,12,10,7,9,9,14,8,11,10,14,103,108,104,85,109
1216,Tipico,10,7,11,4,11,7,8,7,13,16,95,94,81,97,120
1217,Tipico,9,14,10,14,12,10,12,8,15,13,114,118,102,106,115
1218,Tipico,9,6,4,6,9,6,6,10,11,6,78,86,89,70,85
1219,Tipico,8,8,11,10,8,7,15,11,8,11,98,86,98,118,97
1220,Tipico,9,12,13,8,8,8,11,10,10,11,100,100,94,112,97
1221,Tipico,11,10,7,5,8,9,7,9,10,7,86,98,89,82,85
1222,Tipico,9,11,9,13,10,10,11,9,9,10,101,100,102,100,100
1223,Tipico,5,12,9,9,9,13,12,8,13,11,101,116,83,103,100
1224,Tipico,7,7,9,8,10,12,8,8,3,6,82,84,85,91,88
1225,Tipico,12,10,13,6,14,10,11,10,12,12,108,104,96,112,118
1226,Tipico,10,10,12,13,12,11,13,11,10,10,110,102,109,115,106
1227,Tipico,7,10,10,11,11,10,13,7,12,10,101,104,89,109,103
1228,Tipico,8,12,10,7,12,14,13,12,11,9,106,114,94,109,103
1229,Tipico,8,11,11,5,7,7,9,9,13,5,88,102,83,100,77
1230,Tipico,7,8,5,8,6,11,14,4,9,9,85,96,76,97,85
1231,Tipico,7,8,7,5,8,9,6,10,9,3,77,92,83,79,74
1232,Tipico,15,12,10,14,12,12,14,12,12,12,120,112,124,112,112
1233,Tipico,5,4,5,6,11,6,9,8,1,8,70,63,76,82,97
1234,Tipico,14,12,7,12,13,12,9,8,13,10,108,114,109,88,109
1235,Tipico,12,15,10,6,11,12,12,10,12,10,108,118,96,106,103
1236,Tipico,7,10,5,8,11,11,7,12,7,9,89,96,94,76,100
1237,Tipico,6,16,13,10,8,11,11,11,10,8,103,114,94,112,88
1238,Tipico,15,14,12,6,11,11,11,13,13,9,112,116,109,109,100
1239,Tipico,12,11,10,15,9,11,14,14,6,10,110,96,124,112,97
1240,Tipico,14,7,6,11,10,8,13,12,8,18,106,86,115,97,123
1241,Tipico,12,11,15,10,10,13,9,10,7,7,103,102,104,112,91
1242,Tipico,9,11,9,9,13,13,9,13,12,7,104,112,102,94,100
1243,Tipico,11,8,17,11,10,9,13,5,5,7,97,84,94,130,91
1244,Tipico,12,15,12,13,8,14,13,9,16,14,121,129,109,115,106
1245,Tipico,11,14,9,11,7,13,12,10,8,11,105,110,104,103,94
1246,Tipico,8,7,14,5,10,2,4,1,6,13,76,70,66,94,109
1247,Tipico,8,9,15,7,13,12,12,9,11,11,106,104,87,121,112
1248,Tipico,7,7,6,10,11,7,7,9,6,11,85,80,91,79,106
1249,Tipico,10,8,6,7,7,13,8,6,13,11,91,108,85,82,94
1250,Tipico,6,12,12,11,14,13,9,11,11,15,111,112,96,103,126
1251,Tipico,14,11,8,8,6,9,5,12,10,6,91,100,109,79,77
1252,Tipico,13,10,7,14,14,10,12,9,12,15,113,104,113,97,126
1253,Tipico,16,8,8,12,11,12,7,7,12,5,98,104,111,85,88
1254,Tipico,13,15,10,13,13,12,12,13,15,18,127,124,119,106,132
1255,Tipico,12,7,13,13,10,10,11,10,8,11,104,90,111,112,103
1256,Tipico,4,6,15,13,13,10,11,13,13,11,107,98,100,118,112
1257,Tipico,9,9,9,8,16,8,4,11,8,12,95,90,96,79,123
1258,Tipico,14,12,13,9,8,10,11,15,10,7,107,104,117,112,85
1259,Tipico,9,7,8,12,6,7,6,10,9,11,88,86,102,82,91
1260,Tipico,14,14,17,14,6,15,8,10,12,14,119,122,117,115,100
1261,Tipico,18,11,13,12,13,12,13,14,12,12,124,110,130,118,115
1262,Tipico,7,7,9,8,6,7,6,9,4,6,75,76,87,85,77
1263,Tipico,9,11,15,10,14,9,10,11,10,11,108,100,100,115,115
1264,Tipico,11,10,6,8,9,13,9,12,12,7,98,110,102,85,88
1265,Tipico,9,10,7,8,11,6,11,11,5,4,85,82,96,94,85
1266,Tipico,7,8,8,7,10,11,7,12,8,7,88,94,91,85,91
1267,Tipico,12,8,11,9,8,14,12,12,9,13,106,102,106,109,103
1268,Tipico,10,9,11,12,10,14,12,10,10,6,103,106,104,109,88
1269,Tipico,13,9,11,10,10,9,11,15,8,5,101,92,117,106,85
1270,Tipico,9,10,7,8,1,8,7,10,10,7,81,96,94,82,65
1271,Tipico,11,12,15,11,13,14,11,12,11,13,119,114,109,118,118
1272,Tipico,7,11,6,7,8,9,4,6,10,6,79,100,78,70,82
1273,Tipico,7,7,9,5,9,7,10,6,6,8,79,80,74,97,91
1274,Tipico,13,13,13,15,7,14,9,11,13,9,114,120,119,106,88
1275,Tipico,12,2,6,7,9,5,10,8,5,8,77,65,94,88,91
1276,Tipico,10,10,12,11,15,13,10,8,10,12,109,106,98,106,120
1277,Tipico,9,7,9,9,7,11,9,7,11,6,88,98,89,94,80
1278,Tipico,11,14,12,7,8,14,13,7,17,10,110,129,89,115,94
1279,Tipico,8,12,13,14,4,12,13,8,11,4,99,110,100,118,65
